Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l)
abc,11/27/2015,2,-0.07%
abc,11/30/2015,3,0.44%
abc,12/1/2015,4,0.37%
abc,12/2/2015,5,0.22%
abc,12/3/2015,6,-0.27%
abc,12/21/2015,1,-0.07%
abc,12/22/2015,2,0.10%
abc,12/23/2015,3,0.58%
abc,12/24/2015,4,0.20%
abc,12/28/2015,5,-0.18%
abc,12/29/2015,6,0.11%
abc,12/30/2015,7,0.49%
abc,12/31/2015,8,0.48%
abc,1/4/2016,9,1.14%
abc,1/5/2016,10,1.28%
abc,1/6/2016,11,1.61%
abc,1/7/2016,12,1.85%
abc,1/8/2016,13,1.93%
abc,1/11/2016,14,2.60%
abc,1/12/2016,15,2.40%
abc,1/13/2016,16,3.17%
abc,1/14/2016,17,3.08%
abc,1/15/2016,18,3.35%
abc,1/19/2016,19,4.31%
abc,1/20/2016,20,4.88%
abc,1/21/2016,21,5.04%
abc,1/22/2016,22,3.87%
abc,2/11/2016,1,-0.45%
abc,2/12/2016,2,-0.04%
abc,2/16/2016,3,-0.37%
abc,2/17/2016,4,1.25%
abc,2/18/2016,5,1.23%
abc,2/19/2016,6,1.03%
abc,2/22/2016,7,0.72%
abc,2/23/2016,8,2.16%
abc,2/24/2016,9,3.09%
abc,2/25/2016,10,3.81%
abc,2/26/2016,11,3.38%
abc,2/29/2016,12,4.16%
abc,3/1/2016,13,3.80%
abc,3/2/2016,14,2.68%
abc,3/16/2016,1,0.97%
abc,3/17/2016,2,-0.04%
abc,4/8/2016,1,0.40%
abc,4/11/2016,2,-1.20%
abc,5/4/2016,1,0.83%
abc,5/5/2016,2,1.12%
abc,5/6/2016,3,1.28%
abc,5/9/2016,4,1.66%
abc,5/10/2016,5,1.72%
abc,5/11/2016,6,1.56%
abc,5/12/2016,7,1.44%
abc,5/13/2016,8,1.44%
abc,5/16/2016,9,2.03%
abc,5/17/2016,10,1.87%
abc,5/18/2016,11,0.55%
abc,6/1/2016,1,0.92%
abc,6/2/2016,2,1.34%
abc,6/3/2016,3,1.16%
abc,6/6/2016,4,0.57%
abc,6/7/2016,5,-0.06%
abc,6/16/2016,1,-0.51%
abc,6/17/2016,2,-1.10%
abc,6/24/2016,1,-1.89%
abc,7/20/2016,1,-1.24%
abc,7/21/2016,2,-0.79%
abc,7/22/2016,3,-0.38%
abc,7/25/2016,4,-1.22%
abc,7/26/2016,5,-0.95%
abc,7/27/2016,6,-0.90%
abc,7/28/2016,7,-0.48%
abc,7/29/2016,8,-0.77%
abc,8/1/2016,9,-0.12%
abc,8/2/2016,10,-0.47%
abc,8/3/2016,11,0.71%
abc,8/4/2016,12,0.47%
abc,8/5/2016,13,-1.04%
abc,8/8/2016,14,-1.30%
abc,8/9/2016,15,-1.97%
abc,8/31/2016,1,0.12%
abc,9/1/2016,2,-1.45%
abc,9/15/2016,1,-0.40%
abc,9/16/2016,2,-0.42%
abc,9/19/2016,3,1.38%
abc,9/20/2016,4,1.15%
abc,9/21/2016,5,1.56%
abc,9/22/2016,6,1.40%
abc,9/23/2016,7,0.85%
abc,9/26/2016,8,1.69%
abc,9/27/2016,9,1.65%
abc,9/28/2016,10,1.22%
abc,9/29/2016,11,1.22%
abc,9/30/2016,12,1.65%
abc,10/3/2016,13,1.57%
abc,10/4/2016,14,2.50%
abc,10/5/2016,15,3.49%
abc,10/6/2016,16,3.34%
abc,10/7/2016,17,4.45%
abc,10/10/2016,18,5.73%
abc,10/28/2016,1,0.50%
abc,10/31/2016,2,0.38%
abc,11/1/2016,3,-0.06%
abc,11/2/2016,4,-0.74%
abc,11/15/2016,1,0.72%
abc,11/16/2016,2,0.83%
abc,11/17/2016,3,1.07%
abc,11/18/2016,4,1.28%
abc,11/21/2016,5,1.68%
abc,11/22/2016,6,0.74%
abc,11/23/2016,7,1.29%
abc,11/25/2016,8,1.09%
abc,11/28/2016,9,0.45%
abc,12/13/2016,1,-0.71%
abc,12/14/2016,2,-0.64%
abc,12/15/2016,3,-0.14%
abc,12/16/2016,4,1.16%
abc,12/19/2016,5,0.87%
abc,12/20/2016,6,1.45%
abc,12/21/2016,7,1.71%
abc,12/22/2016,8,1.85%
abc,12/23/2016,9,2.37%
abc,12/27/2016,10,2.48%
abc,12/28/2016,11,2.47%
abc,12/29/2016,12,2.88%
abc,12/30/2016,13,2.67%
abc,1/3/2017,14,2.01%
abc,1/4/2017,15,2.83%
abc,1/5/2017,16,1.42%
abc,1/12/2017,1,-0.63%
abc,2/1/2017,1,-1.14%
abc,2/23/2017,1,0.12%
abc,2/24/2017,2,-0.55%
abc,2/27/2017,3,0.12%
abc,2/28/2017,4,0.24%
abc,3/1/2017,5,0.57%
abc,3/2/2017,6,1.54%
abc,3/3/2017,7,1.66%
abc,3/6/2017,8,1.47%
abc,3/7/2017,9,1.74%
abc,3/8/2017,10,2.00%
abc,3/9/2017,11,2.21%
abc,3/10/2017,12,2.16%
abc,3/13/2017,13,2.16%
abc,3/14/2017,14,1.72%
abc,3/15/2017,15,2.29%
abc,3/16/2017,16,0.99%
abc,3/20/2017,1,0.23%
abc,3/21/2017,2,-0.15%
abc,3/22/2017,3,0.86%
abc,3/23/2017,4,0.96%
abc,3/24/2017,5,1.18%
abc,3/27/2017,6,1.04%
abc,3/28/2017,7,1.58%
abc,3/29/2017,8,0.64%
abc,3/30/2017,9,0.52%
abc,3/31/2017,10,0.85%
abc,4/3/2017,11,1.28%
abc,4/4/2017,12,0.81%
abc,4/5/2017,13,0.61%
abc,4/6/2017,14,0.90%
abc,4/7/2017,15,0.82%
abc,4/10/2017,16,0.03%
abc,4/11/2017,17,0.34%
abc,4/12/2017,18,0.92%
abc,4/13/2017,19,0.93%
abc,4/17/2017,20,1.13%
abc,4/18/2017,21,1.51%
abc,4/19/2017,22,3.83%
abc,4/20/2017,23,3.28%
abc,4/21/2017,24,3.55%
abc,4/24/2017,25,3.37%
abc,4/25/2017,26,3.31%
abc,4/26/2017,27,3.65%
abc,4/27/2017,28,3.75%
abc,4/28/2017,29,4.25%
abc,5/1/2017,30,4.58%
abc,5/2/2017,31,4.23%
abc,5/3/2017,32,4.45%
abc,5/4/2017,33,4.09%
abc,5/5/2017,34,4.34%
abc,5/8/2017,35,4.77%
abc,5/9/2017,36,4.53%
abc,5/10/2017,37,4.38%
abc,5/11/2017,38,4.51%
abc,5/12/2017,39,4.09%
abc,5/15/2017,40,3.99%
abc,5/16/2017,41,4.12%
abc,5/17/2017,42,4.33%
abc,5/18/2017,43,4.60%
abc,5/19/2017,44,4.48%
abc,5/22/2017,45,5.21%
abc,5/23/2017,46,4.91%
abc,5/24/2017,47,4.67%
abc,5/25/2017,48,4.53%
abc,5/26/2017,49,4.42%
abc,5/30/2017,50,3.28%
abc,5/31/2017,51,3.78%
abc,6/1/2017,52,4.06%
abc,6/2/2017,53,3.91%
abc,6/5/2017,54,3.99%
abc,6/6/2017,55,4.27%
abc,6/7/2017,56,4.18%
abc,6/8/2017,57,4.75%
abc,6/9/2017,58,2.34%
abc,6/26/2017,1,0.30%
abc,6/27/2017,2,0.28%
abc,6/28/2017,3,0.96%
abc,6/29/2017,4,1.97%
abc,6/30/2017,5,2.40%
abc,7/3/2017,6,2.57%
abc,7/5/2017,7,2.10%
abc,7/6/2017,8,1.92%
abc,7/7/2017,9,2.23%
abc,7/10/2017,10,1.51%
abc,7/11/2017,11,1.53%
abc,7/12/2017,12,1.26%
abc,7/13/2017,13,1.54%
abc,7/14/2017,14,1.99%
abc,7/17/2017,15,3.12%
abc,7/18/2017,16,2.87%
abc,7/19/2017,17,2.81%
abc,7/20/2017,18,2.63%
abc,7/21/2017,19,2.21%
abc,7/24/2017,20,2.46%
abc,7/25/2017,21,2.69%
abc,7/26/2017,22,2.69%
abc,7/27/2017,23,3.14%
abc,7/28/2017,24,2.97%
abc,7/31/2017,25,3.56%
abc,8/1/2017,26,3.93%
abc,8/2/2017,27,4.04%
abc,8/3/2017,28,4.18%
abc,8/4/2017,29,3.42%
abc,8/7/2017,30,2.64%
abc,8/8/2017,31,2.60%
abc,8/9/2017,32,2.26%
abc,8/10/2017,33,2.37%
abc,8/11/2017,34,2.18%
abc,8/14/2017,35,2.44%
abc,8/15/2017,36,1.49%
abc,8/31/2017,1,-0.02%
abc,9/1/2017,2,0.04%
abc,9/5/2017,3,0.20%
abc,9/6/2017,4,0.93%
abc,9/7/2017,5,0.97%
abc,9/8/2017,6,1.35%
abc,9/11/2017,7,2.30%
abc,9/12/2017,8,2.16%
abc,9/13/2017,9,3.08%
abc,9/14/2017,10,2.32%
abc,9/15/2017,11,3.86%
abc,9/18/2017,12,5.20%
abc,9/19/2017,13,4.57%
abc,9/20/2017,14,4.83%
abc,9/21/2017,15,4.51%
abc,9/22/2017,16,5.20%
abc,9/25/2017,17,4.85%
abc,9/26/2017,18,4.41%
abc,9/27/2017,19,4.28%
abc,9/28/2017,20,3.89%
abc,9/29/2017,21,4.20%
abc,10/2/2017,22,2.86%
abc,10/20/2017,1,-0.38%
abc,10/23/2017,2,-0.12%
abc,10/24/2017,3,-0.06%
abc,10/25/2017,4,-0.54%
abc,10/26/2017,5,0.35%
abc,10/27/2017,6,-0.40%
abc,10/30/2017,7,-0.66%
abc,10/31/2017,8,-0.07%
abc,11/1/2017,9,0.55%
abc,11/2/2017,10,0.29%
abc,11/3/2017,11,-1.14%
abc,11/6/2017,12,-1.10%
abc,11/7/2017,13,-0.31%
abc,11/8/2017,14,-0.36%
abc,11/9/2017,15,-0.77%
abc,11/10/2017,16,-0.44%
abc,11/13/2017,17,-0.15%
abc,11/14/2017,18,-0.77%
abc,11/15/2017,19,-0.40%
abc,11/16/2017,20,-0.40%
abc,11/17/2017,21,-0.26%
abc,11/20/2017,22,0.00%
abc,11/21/2017,23,0.14%
abc,11/22/2017,24,0.13%
abc,11/24/2017,25,0.77%
abc,11/27/2017,26,0.84%
abc,11/28/2017,27,0.74%
abc,11/29/2017,28,1.15%
abc,11/30/2017,29,1.54%
abc,12/1/2017,30,2.28%
abc,12/4/2017,31,1.85%
abc,12/5/2017,32,1.93%
abc,12/6/2017,33,1.78%
abc,12/7/2017,34,1.34%
abc,12/8/2017,35,2.12%
abc,12/11/2017,36,1.66%
abc,12/12/2017,37,1.21%
abc,12/13/2017,38,1.05%
abc,12/14/2017,39,1.83%
abc,12/15/2017,40,2.06%
abc,12/18/2017,41,1.17%
abc,12/19/2017,42,1.61%
abc,12/20/2017,43,1.56%
abc,12/21/2017,44,1.61%
abc,12/22/2017,45,1.56%
abc,12/26/2017,46,1.54%
abc,12/27/2017,47,1.53%
abc,12/28/2017,48,1.60%
abc,12/29/2017,49,1.90%
abc,1/2/2018,50,2.49%
abc,1/3/2018,51,3.02%
abc,1/4/2018,52,2.41%
abc,1/5/2018,53,2.70%
abc,1/8/2018,54,2.79%
abc,1/9/2018,55,2.77%
abc,1/10/2018,56,2.52%
abc,1/11/2018,57,2.35%
abc,1/12/2018,58,2.55%
abc,1/16/2018,59,4.05%
abc,1/17/2018,60,4.48%
abc,1/18/2018,61,5.13%
abc,1/19/2018,62,5.23%
abc,1/22/2018,63,5.08%
abc,1/23/2018,64,5.89%
abc,1/24/2018,65,6.03%
abc,1/25/2018,66,7.66%
abc,1/26/2018,67,6.93%
abc,1/29/2018,68,7.23%
abc,1/30/2018,69,6.62%
abc,1/31/2018,70,7.17%
abc,2/1/2018,71,7.35%
abc,2/2/2018,72,8.00%
abc,2/5/2018,73,6.98%
abc,2/6/2018,74,5.53%
